date,cases_cum,cases,deaths_cum,deaths
2020-01-21,1,1,0,0
2020-01-22,1,0,0,0
2020-01-23,1,0,0,0
2020-01-24,2,1,0,0
2020-01-25,3,1,0,0
2020-01-26,5,2,0,0
2020-01-27,5,0,0,0
2020-01-28,5,0,0,0
2020-01-29,5,0,0,0
2020-01-30,6,1,0,0
2020-01-31,7,1,0,0
2020-02-01,8,1,0,0
2020-02-02,11,3,0,0
2020-02-03,11,0,0,0
2020-02-04,11,0,0,0
2020-02-05,12,1,0,0
2020-02-06,12,0,0,0
2020-02-07,12,0,0,0
2020-02-08,12,0,0,0
2020-02-09,12,0,0,0
2020-02-10,13,1,0,0
2020-02-11,13,0,0,0
2020-02-12,14,1,0,0
2020-02-13,15,1,0,0
2020-02-14,15,0,0,0
2020-02-15,15,0,0,0
2020-02-16,15,0,0,0
2020-02-17,25,10,0,0
2020-02-18,25,0,0,0
2020-02-19,25,0,0,0
2020-02-20,27,2,0,0
2020-02-21,30,3,0,0
2020-02-22,30,0,0,0
2020-02-23,30,0,0,0
2020-02-24,43,13,0,0
2020-02-25,45,2,0,0
2020-02-26,60,15,0,0
2020-02-27,60,0,0,0
2020-02-28,65,5,0,0
2020-02-29,70,5,1,1
2020-03-01,88,18,3,2
2020-03-02,104,16,6,3
2020-03-03,125,21,10,4
2020-03-04,161,36,12,2
2020-03-05,228,67,12,0
2020-03-06,311,83,15,3
2020-03-07,428,117,19,4
2020-03-08,547,119,22,3
2020-03-09,748,201,26,4
2020-03-10,1018,270,31,5
2020-03-11,1263,245,37,6
2020-03-12,1668,405,43,6
2020-03-13,2224,556,50,7
2020-03-14,2898,674,60,10
2020-03-15,3600,702,68,8
2020-03-16,4507,907,91,23
2020-03-17,5906,1399,117,26
2020-03-18,8350,2444,162,45
2020-03-19,12393,4043,212,50
2020-03-20,18012,5619,277,65
2020-03-21,24528,6516,360,83
2020-03-22,33073,8545,458,98
2020-03-23,43505,10432,579,121
2020-03-24,53938,10433,785,206
2020-03-25,68572,14634,1054,269
2020-03-26,85570,16998,1353,299
2020-03-27,102900,17330,1770,417
2020-03-28,123966,21066,2300,530
2020-03-29,142486,18520,2718,418
2020-03-30,163955,21469,3368,650
2020-03-31,188461,24506,4304,936
2020-04-01,215391,26930,5325,1021
2020-04-02,245108,29717,6541,1216
2020-04-03,277426,32318,7932,1391
2020-04-04,312525,35099,9488,1556
2020-04-05,338141,25616,10856,1368
2020-04-06,369057,30916,12382,1526
2020-04-07,399394,30337,14616,2234
2020-04-08,431214,31820,16701,2085
2020-04-09,465913,34699,18821,2120
2020-04-10,499386,33473,21084,2263
2020-04-11,531106,31720,23168,2084
2020-04-12,558249,27143,24849,1681
2020-04-13,584018,25769,26613,1764
2020-04-14,610709,26691,29318,2705
2020-04-15,640742,30033,32070,2752
2020-04-16,672355,31613,34419,2349
2020-04-17,703864,31509,36708,2289
2020-04-18,732262,28398,38659,1951
2020-04-19,757596,25334,40179,1520
2020-04-20,784991,27395,42016,1837
2020-04-21,810505,25514,44688,2672
2020-04-22,839336,28831,47059,2371
2020-04-23,873112,33776,49228,2169
2020-04-24,909853,36741,51360,2132
2020-04-25,944261,34408,53327,1967
2020-04-26,970996,26735,54580,1253
2020-04-27,994193,23197,56022,1442
2020-04-28,1018844,24651,58416,2394
2020-04-29,1045399,26555,60930,2514
2020-04-30,1075756,30357,63140,2210
2020-05-01,1109726,33970,64902,1762
2020-05-02,1139200,29474,66485,1583
2020-05-03,1165340,26140,67816,1331
2020-05-04,1187302,21962,68905,1089
2020-05-05,1211011,23709,71139,2234
2020-05-06,1235517,24506,73847,2708
2020-05-07,1263995,28478,75805,1958
2020-05-08,1291643,27648,77380,1575
2020-05-09,1316511,24868,78834,1454
2020-05-10,1336828,20317,79766,932
2020-05-11,1354449,17621,80748,982
2020-05-12,1376749,22300,82400,1652
2020-05-13,1397894,21145,84168,1768
2020-05-14,1424856,26962,85906,1738
2020-05-15,1451093,26237,87499,1593
2020-05-16,1474752,23659,88724,1225
2020-05-17,1493766,19014,89568,844
2020-05-18,1515593,21827,90414,846
2020-05-19,1536570,20977,91934,1520
2020-05-20,1559640,23070,93411,1477
2020-05-21,1585373,25733,94722,1311
2020-05-22,1609172,23799,96010,1288
2020-05-23,1631440,22268,97060,1050
2020-05-24,1651471,20031,97680,620
2020-05-25,1670571,19100,98190,510
2020-05-26,1689467,18896,98937,747
2020-05-27,1708211,18744,100422,1485
2020-05-28,1730723,22512,101622,1200
2020-05-29,1755271,24548,102812,1190
2020-05-30,1778668,23397,103775,963
2020-05-31,1799302,20634,104379,604
2020-06-01,1821199,21897,105113,734
2020-06-02,1841990,20791,106195,1082
2020-06-03,1861977,19987,107184,989
2020-06-04,1883593,21616,108192,1008
2020-06-05,1912302,28709,109304,1112
2020-06-06,1934818,22516,110032,728
2020-06-07,1953434,18616,110422,390
2020-06-08,1971641,18207,111144,722
2020-06-09,1990446,18805,112174,1030
2020-06-10,2013298,22852,113103,929
2020-06-11,2036500,23202,113980,877
2020-06-12,2061993,25493,114759,779
2020-06-13,2087327,25334,115451,692
2020-06-14,2106457,19130,115768,317
2020-06-15,2126574,20117,116216,448
2020-06-16,2151459,24885,116985,769
2020-06-17,2177114,25655,117746,761
2020-06-18,2205173,28059,118473,727
2020-06-19,2236009,30836,119171,698
2020-06-20,2268034,32025,119717,546
2020-06-21,2294413,26379,119974,257
2020-06-22,2324879,30466,120334,360
2020-06-23,2359939,35060,121167,833
2020-06-24,2396928,36989,121934,767
2020-06-25,2438101,41173,124400,2466
2020-06-26,2483629,45528,125033,633
2020-06-27,2525928,42299,125544,511
2020-06-28,2565436,39508,125815,271
2020-06-29,2604932,39496,126162,347
2020-06-30,2653321,48389,127462,1300
2020-07-01,2703296,49975,128104,642
2020-07-02,2758855,55559,128827,723
2020-07-03,2816009,57154,129418,591
2020-07-04,2866015,50006,129679,261
2020-07-05,2910782,44767,129941,262
2020-07-06,2958098,47316,130332,391
2020-07-07,3012182,54084,131290,958
2020-07-08,3071637,59455,132238,948
2020-07-09,3131526,59889,133079,841
2020-07-10,3199753,68227,133907,828
2020-07-11,3260474,60721,134582,675
2020-07-12,3318279,57805,134977,395
2020-07-13,3379846,61567,135402,425
2020-07-14,3445448,65602,136356,954
2020-07-15,3513790,68342,137327,971
2020-07-16,3589477,75687,138285,958
2020-07-17,3660400,70923,139186,901
2020-07-18,3722851,62451,139961,775
2020-07-19,3785126,62275,140373,412
2020-07-20,3845014,59888,140904,531
2020-07-21,3910291,65277,142031,1127
2020-07-22,3980030,69739,143167,1136
2020-07-23,4050036,70006,144283,1116
2020-07-24,4123561,73525,145429,1146
2020-07-25,4190337,66776,146313,884
2020-07-26,4244554,54217,146753,440
2020-07-27,4303735,59181,148449,1696
2020-07-28,4366851,63116,149776,1327
2020-07-29,4433467,66616,151172,1396
2020-07-30,4502581,69114,152433,1261
2020-07-31,4571669,69088,153862,1429
2020-08-01,4628497,56828,154917,1055
2020-08-02,4679291,50794,155337,420
2020-08-03,4726775,47484,155945,608
2020-08-04,4780324,53549,157301,1356
2020-08-05,4834047,53723,158554,1253
2020-08-06,4891561,57514,159625,1071
2020-08-07,4952718,61157,160981,1356
2020-08-08,5007958,55240,161947,966
2020-08-09,5056438,48480,162486,539
2020-08-10,5103611,47173,163023,537
2020-08-11,5156968,53357,164474,1451
2020-08-12,5211246,54278,165952,1478
2020-08-13,5265307,54061,167165,1213
2020-08-14,5324784,59477,168341,1176
2020-08-15,5375527,50743,169400,1059
2020-08-16,5417664,42137,169914,514
2020-08-17,5455187,37523,170449,535
2020-08-18,5498420,43233,171798,1349
2020-08-19,5541433,43013,173093,1295
2020-08-20,5587462,46029,174136,1043
2020-08-21,5636491,49029,175297,1161
2020-08-22,5681517,45026,176247,950
2020-08-23,5713850,32333,176693,446
2020-08-24,5754254,40404,177197,504
2020-08-25,5793437,39183,178410,1213
2020-08-26,5838756,45319,179603,1193
2020-08-27,5884366,45610,180729,1126
2020-08-28,5930930,46564,181739,1010
2020-08-29,5975540,44610,182610,871
2020-08-30,6008970,33430,182984,374
2020-08-31,6045455,36485,183472,488
2020-09-01,6089504,44049,184563,1091
2020-09-02,6121948,32444,185639,1076
2020-09-03,6168342,46394,186717,1078
2020-09-04,6220446,52104,187697,980
2020-09-05,6262700,42254,188409,712
2020-09-06,6292699,29999,188820,411
2020-09-07,6317865,25166,189083,263
2020-09-08,6346806,28941,189541,458
2020-09-09,6380138,33332,190716,1175
2020-09-10,6418198,38060,191631,915
2020-09-11,6465766,47568,192858,1227
2020-09-12,6504870,39104,193559,701
2020-09-13,6538213,33343,193958,399
2020-09-14,6575100,36887,194408,450
2020-09-15,6614317,39217,195689,1281
2020-09-16,6653585,39268,196686,997
2020-09-17,6698895,45310,197535,849
2020-09-18,6747782,48887,198484,949
2020-09-19,6789593,41811,199154,670
2020-09-20,6825949,36356,199367,213
2020-09-21,6880899,54950,199797,430
2020-09-22,6918290,37391,200738,941
2020-09-23,6959841,41551,201828,1090
2020-09-24,7005043,45202,202713,885
2020-09-25,7059624,54581,203566,853
2020-09-26,7102321,42697,204335,769
2020-09-27,7139619,37298,204602,267
2020-09-28,7176979,37360,204952,350
2020-09-29,7220676,43697,205878,926
2020-09-30,7262734,42058,206852,974
2020-10-01,7309152,46418,207699,847
2020-10-02,7362563,53411,208564,865
2020-10-03,7410342,47779,209273,709
2020-10-04,7445405,35063,209606,333
2020-10-05,7507699,62294,210035,429
2020-10-06,7550563,42864,210756,721
2020-10-07,7603547,52984,211752,996
2020-10-08,7659922,56375,212680,928
2020-10-09,7718881,58959,213595,915
2020-10-10,7770467,51586,214187,592
2020-10-11,7815233,44766,214606,419
2020-10-12,7863239,48006,214957,351
2020-10-13,7917598,54359,215783,826
2020-10-14,7977470,59872,216792,1009
2020-10-15,8042797,65327,217585,793
2020-10-16,8113261,70464,218476,891
2020-10-17,8166022,52761,219154,678
2020-10-18,8213904,47882,219541,387
2020-10-19,8279279,65375,220058,517
2020-10-20,8339867,60588,220987,929
2020-10-21,8404058,64191,222195,1208
2020-10-22,8479122,75064,223023,828
2020-10-23,8564207,85085,223948,925
2020-10-24,8642963,78756,224821,873
2020-10-25,8702675,59712,225160,339
2020-10-26,8777118,74443,225698,538
2020-10-27,8851546,74428,226681,983
2020-10-28,8933448,81902,227697,1016
2020-10-29,9024176,90728,228701,1004
2020-10-30,9123960,99784,229672,971
2020-10-31,9208245,84285,230510,838
2020-11-01,9282481,74236,230937,427
2020-11-02,9376123,93642,231477,540
2020-11-03,9468722,92599,232607,1130
2020-11-04,9576594,107872,234223,1616
2020-11-05,9698098,121504,235331,1108
2020-11-06,9830895,132797,236554,1223
2020-11-07,9957051,126156,237567,1013
